ID, COORDINATES_ID, GEO_OBJECT_TYPE_ID, I18NAME_ID, PARENT_ID
"12969","12969","100","113073","12954"
"12970","12970","100","113074","12954"
"12971","12971","100","113075","12954"
"12972","12972","100","113076","12954"
"12973","12973","100","113077","12954"
"12974","12974","100","113078","12954"
"12975","12975","100","113079","12954"
"12976","12976","100","113080","12954"
"12977","12977","100","113081","12954"
"12978","12978","100","113082","12954"
"12979","12979","100","113083","12954"
"12980","12980","100","113084","12954"
"12981","12981","100","113085","12954"
"12982","12982","100","113086","12954"
"12983","12984","101","113088",null
"12984","12983","100","113087","12983"
"12985","12985","100","113089","12983"
"12986","12986","100","113090","12983"
"12987","12987","100","113091","12983"
"12988","12988","100","113092","12983"
"12989","12989","100","113093","12983"
"12990","12990","100","113094","12983"
"12991","12991","100","113095","12983"
"12992","12992","100","113096","12983"
"12993","12993","100","113097","12983"
"12994","12994","100","113098","12983"
"12995","12995","100","113099","12983"
"12996","12996","100","113100","12983"
"12997","12997","100","113101","12983"
"12998","12998","100","113102","12983"
"12999","12999","100","113103","12983"
"13000","13000","100","113104","12983"
"13001","13001","100","113105","12983"
"13002","13002","100","113106","12983"
"13003","13003","100","113107","12983"
"13004","13004","100","113108","12983"
"13005","13005","100","113109","12983"
"13006","13007","101","113111",null
"13007","13006","100","113110","13006"
"13008","13008","100","113112","13006"
"13009","13009","100","113113","13006"
"13010","13010","100","113114","13006"
"13011","13011","100","113115","13006"
"13012","13012","100","113116","13006"
"13013","13013","100","113117","13006"
"13014","13014","100","113118","13006"
"13015","13015","100","113119","13006"
"13016","13016","100","113120","13006"
"13017","13017","100","113121","13006"
"13018","13018","100","113122","13006"
"13019","13019","100","113123","13006"
"13020","13020","100","113124","13006"
"13021","13021","100","113125","13006"
"13022","13022","100","113126","13006"
"13023","13024","101","113128",null
"13024","13023","100","113127","13023"
"13025","13025","100","113129","13023"
"13026","13026","100","113130","13023"
"13027","13027","100","113131","13023"
"13028","13028","100","113132","13023"
"13029","13029","100","113133","13023"
"13030","13030","100","113134","13023"
"13031","13031","100","113135","13023"
"13032","13032","100","113136","13023"
"13033","13033","100","113137","13023"
